Phase: Liftoff | Altitude: 64.75 m | Velocity: 21.58 m/s | Fuel: 600.00 kg | Thrust: 0.00 N
Phase: Pre-Launch | Altitude: 8.09459 m | Velocity: 5.39639 m/s | Fuel: 900 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 21.5854 m | Velocity: 10.7927 m/s | Fuel: 800 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 40.4722 m | Velocity: 16.1887 m/s | Fuel: 700 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 64.7543 m | Velocity: 21.5843 m/s | Fuel: 600 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 94.4311 m | Velocity: 26.9793 m/s | Fuel: 500 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 129.502 m | Velocity: 32.3735 m/s | Fuel: 400 kg | Thrust: 0 N
Phase: Pre-Launch | Altitude: 8.09459 m | Velocity: 5.39639 m/s | Fuel: 900 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 21.5854 m | Velocity: 10.7927 m/s | Fuel: 800 kg | Thrust: 0 N
Phase: Pre-Launch | Altitude: 8.09459 m | Velocity: 5.39639 m/s | Fuel: 900 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 21.5854 m | Velocity: 10.7927 m/s | Fuel: 800 kg | Thrust: 0 N
Phase: Pre-Launch | Altitude: 8.09459 m | Velocity: 5.39639 m/s | Fuel: 900 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 21.5854 m | Velocity: 10.7927 m/s | Fuel: 800 kg | Thrust: 0 N
Phase: Pre-Launch | Altitude: 8.09459 m | Velocity: 5.39639 m/s | Fuel: 900 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 21.5854 m | Velocity: 10.7927 m/s | Fuel: 800 kg | Thrust: 0 N
Phase: Pre-Launch | Altitude: 8.09459 m | Velocity: 5.39639 m/s | Fuel: 900 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 21.5854 m | Velocity: 10.7927 m/s | Fuel: 800 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 40.4722 m | Velocity: 16.1887 m/s | Fuel: 700 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 64.7543 m | Velocity: 21.5843 m/s | Fuel: 600 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 94.4311 m | Velocity: 26.9793 m/s | Fuel: 500 kg | Thrust: 0 N
Phase: Pre-Launch | Altitude: 8.09459 m | Velocity: 5.39639 m/s | Fuel: 900 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 21.5854 m | Velocity: 10.7927 m/s | Fuel: 800 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 40.4722 m | Velocity: 16.1887 m/s | Fuel: 700 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 64.7543 m | Velocity: 21.5843 m/s | Fuel: 600 kg | Thrust: 0 N
Phase: Pre-Launch | Altitude: 8.09459 m | Velocity: 5.39639 m/s | Fuel: 900 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 21.5854 m | Velocity: 10.7927 m/s | Fuel: 800 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 40.4722 m | Velocity: 16.1887 m/s | Fuel: 700 kg | Thrust: 0 N
Phase: Pre-Launch | Altitude: 8.09459 m | Velocity: 5.39639 m/s | Fuel: 900 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 21.5854 m | Velocity: 10.7927 m/s | Fuel: 800 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 40.4722 m | Velocity: 16.1887 m/s | Fuel: 700 kg | Thrust: 0 N
Phase: Liftoff | Altitude: 64.7543 m | Velocity: 21.5843 m/s | Fuel: 600 kg | Thrust: 0 N
